Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
Chinese calligraphy seal /Japanese sumi painting Stamp/Rectangular Corner Stamp/Stone Seal Engraving/Custom Mood Seal ,Craft Supplies & Tools,25.99,6,50,15,False,190,2,"Square Seal,Stone Stamp,Chinese Chop,Name Seal,Chop Stamp,Chinese Seal,Personalized Seal,Chinese Stamp,Private Seals,Chinese Seal Custom,Seal Chop Stamp,Engraved Stamps,Custom Chinese Chop,Personalized Gifts",United States,2022-11-02,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/1323898346/chinese-calligraphy-seal-japanese-sumi,Upgrade Pro to Unlock
Custom Name Seal/Green Stone Seal Carving/Chinese Stone Square Seal With Your Name Hand Engraved/Custom Made Seal Set ,Craft Supplies & Tools,45.99,3,22,4,False,47,0,"Square Seal,Stone Stamp,Chinese Chop,Name Seal,Chop Stamp,Chinese Seal,Personalized Seal,Chinese Stamp,Private Seals,Chinese Seal Custom,Seal Chop Stamp,Engraved Stamps,Custom Chinese Chop,Personalized Gifts",United States,2022-08-11,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/1284217393/custom-name-sealgreen-stone-seal,Upgrade Pro to Unlock
Custom Chinese Name Private Seal Traditional Seal Natural Withe Stone Name Stamp Calligraphy Stamp Ancient Art of Chop Signet ,Craft Supplies & Tools,18.89,1,78,14,False,288,0,"Square Seal,Stone Stamp,Chinese Chop,Name Seal,Chop Stamp,Chinese Seal,Personalized Seal,Chinese Stamp,Private Seals,Chinese Seal Custom,Seal Chop Stamp,Engraved Stamps,Custom Chinese Chop,Gifts for Friends,Personalized Gifts,Gifts",United States,2020-04-22,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/739207972/custom-chinese-name-private-seal,Upgrade Pro to Unlock
White Dragon Stamp Customized English Name Stamp Custom Chinese Seal  Hand Carved Stone Chop White Square Seal ,Craft Supplies & Tools,28.99,0,13,0,False,29,0,"Craft Supplies & Tools,Stamps & Seals,Seals,Private Seals,Square seal,Stone stamp,chinese seal custom,seal chop stamp,chinese chop,name seal,chop stamp,chinese seal,personalized seal,chinese stamp,engraved stamps,custom chinese chop",United States,2019-10-09,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/729270144/white-dragon-stamp-customized-english,Upgrade Pro to Unlock
"Chinese Qingtian Stone Chop Seal, Chinese custom Seal, Chinese Stone Seal Carving, Chinese Stone Square Seal With Your Name Hand Engraved. ",Craft Supplies & Tools,34.99,0,2,0,False,2,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,custom chinese seal,custom chinese chop,custom seal,personal name seal,personal  seal,stone seal stamp,personal name stamp,character chop,personalized chops,dragon carving,personalized seal,seal cutting,Chinese culture",,2021-06-21,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/1025406850/chinese-qingtian-stone-chop-seal-chinese,
"Chinese Lion Chop Seal, Chinese custom Seal, Chinese Stone Seal Carving, Chinese Stone Square  Seal With Your Name Hand Engraved. ",Craft Supplies & Tools,28.99,0,2,0,False,7,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,custom chinese seal,custom chinese chop,custom seal,personal  seal,name seal,stone seal stamp,personal name stamp,character chop,personalized chops,dragon carving,personalized seal,Chinese culture,seal cutting",,2019-11-19,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/754487265/chinese-lion-chop-seal-chinese-custom,
"Chinese Chop Seal, Chinese custom Seal, Chinese Stone Seal Carving, Chinese Stone Square Seal With Your Name Hand Engraved. ",Craft Supplies & Tools,23.99,0,1,0,False,17,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,custom chinese seal,custom chinese chop,custom seal,personal name seal,personal  seal,stone seal stamp,personal name stamp,character chop,personalized chops,dragon carving,personalized seal,seal cutting,Chinese culture",,,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/746198016/chinese-chop-seal-chinese-custom-seal,
"Chinese Chop Seal, Chinese custom Seal, Chinese Stone Seal Carving, Chinese Stone Square Seal With Your Name Hand Engraved. ",Craft Supplies & Tools,21.99,0,4,0,False,10,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,custom chinese seal,custom chinese chop,custom seal,personal name seal,personal  seal,stone seal stamp,personal name stamp,character chop,personalized chops,dragon carving,personalized seal,seal cutting,Chinese culture",,2019-12-21,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/764089643/chinese-chop-seal-chinese-custom-seal,
"Custom Chinese Mini seal pendant,Custom Japanese Name Chop Free Chinese Name Translation Stamp. ",Craft Supplies & Tools,31.99,0,1,0,False,12,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,name seal,custom seal,personalized seal,personal seal,stone seal stamp,personal name stamp,dragon carving,Chinese culture,Calligraphy seal,painting,calligraphy brush,asian decor,brush set",,2021-12-26,False,False,False,SealCuttingArts,https://www.etsy.com/listing/1148101973/custom-chinese-mini-seal-pendantcustom,
"Chinese Customized couple seal, Personal Name Stamp,Custom Chinese Chop Free Chinese Name Translation Seal. ",Craft Supplies & Tools,40.99,0,1,0,False,9,0,"Craft Supplies & Tools,Stamps & Seals,Stamps,name seal,custom seal,personalized seal,personal seal,stone seal stamp,personal name stamp,dragon carving,Chinese culture,Calligraphy seal,painting,calligraphy brush,asian decor,brush set",,,False,False,False,SealCuttingArts,https://www.etsy.com/listing/1318819365/chinese-customized-couple-seal-personal,
