Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Plum blossoms and bamboo, Chinese traditional bird-and-flower meticulous painting print, Vertical slender refined botanical print, 冬临梅竹各风光 ",Art & Collectibles > Painting > Watercolor,49.34,0,0,0,0,9,0,"Art & Collectibles,Painting,Watercolor,Chinese painting,Canvas print,East Asian wall art,Asian gift,Asian style wall art,hanging scroll art,Chinese traditional,Gongbi painting,antique painting,vintage wall hanging,meticulous floral,retro wall hanging,Chinese  vintage",United States,,no,no,no,Leechees,https://www.etsy.com/listing/1133300979/plum-blossoms-and-bamboo-chinese,Upgrade Pro to Unlock
"Japanese Bonsai Tree Pen & Ink Sketch, Downloadable Asian Art, Download Downloadable, Traditional Japanese Drawing ",Art & Collectibles > Prints > Digital Prints,4.95,0,4,0,0,13,0,"Art & Collectibles,Prints,Digital Prints,Japanese Bonsai Tree,Rustic Art,Pen and Ink Drawing,Traditional Bonsai,Chinese Art,Rural Artwork,Downloadable,Black and White,Asian Far East,Digital Download,Sketch Art,Pen and Ink Sketch",United States,,no,no,no,DigitalStudio33,https://www.etsy.com/listing/1259735264/japanese-bonsai-tree-pen-ink-sketch,Upgrade Pro to Unlock
"Set of 5 Bamboo Painting, Bamboo Wall Art, Bamboo Wall Decor, Bamboo Art, Oriental Asian Watercolor Beautiful Feng Shui Scroll Wall art ",Art & Collectibles > Prints > Digital Prints,7.69,0,1,0,0,4,0,"Chinese Painting,Chinese Traditional,Antique Painting,Vintage Painting,Chinese Wall Art,Watercolor Bamboo,Bamboo Print,Bamboo Painting,Bamboo Wall Art,East Asian Wall Art,Gongbi Painting,Chinese Botanic,Asian Gift,Housewarming Gifts,Gifts",United States,2022-10-22,no,no,no,LyArtCanada,https://www.etsy.com/listing/1316687814/set-of-5-bamboo-painting-bamboo-wall-art,Upgrade Pro to Unlock
"Set of 2, Chinese refined botanical art prints, unframed vertical slender East Asian meticulous painting wall art, silk print hanging scroll ",Art & Collectibles > Painting > Watercolor,79.63,0,7,0,0,53,1,"Chinese Painting,Asian Style Wall Art,Chinese Traditional,Vintage Wall Hanging,Long Vertical Art,Peach Blossoms,Bamboo,East Asian Wall Art,Asian Gift,Gongbi Painting,Slender Wall Art Set,Red Leaves Art,Silk Hanging Scroll,Gifts for Friends,Personalized Gifts,Gifts",United States,,no,no,no,Leechees,https://www.etsy.com/listing/1119355244/set-of-2-chinese-refined-botanical-art,Upgrade Pro to Unlock
"Chinese pastoral style flowers and birds, Chinese Meticulous Painting silk print, 50x50 cm, multiple  square combination wall art, unframed ",Art & Collectibles > Painting > Watercolor,49,0,0,0,0,8,0,"Chinese Painting,Silk Art Print,Chinese Traditional,Set of 4,Set of 3,Set of 6,Set of 2,East Asian Wall Art,Asian Gift,Silk Hanging Scroll,Chinese Mounting,Bird-and-flower,Gongbi Painting,Gifts for Friends,Personalized Gifts,Gifts",United States,,no,no,no,Leechees,https://www.etsy.com/listing/1051054790/chinese-pastoral-style-flowers-and-birds,Upgrade Pro to Unlock
"Pink lotus blossoms and little egret, Chinese meticulous bird-and-flower painting giclee print, vertical slender lotus flower fine art print ",Art & Collectibles > Prints > Giclée,68.59,0,0,0,0,49,0,"Chinese Painting,Chinese Traditional,Gongbi Painting,Vintage Wall Hanging,Retro Wall Hanging,Scroll Hanging,Silk Hanging Scroll,Watercolor Lotus,Vertical Narrow,East Asian Wall Art,Meticulous Painting,Flowers and Birds,Meticulous Lotus,Gifts for Friends,Personalized Gifts,Gifts",United States,2021-12-12,no,no,no,Leechees,https://www.etsy.com/listing/1139674755/pink-lotus-blossoms-and-little-egret,Upgrade Pro to Unlock
"Chinese traditional landscape painting art replica, vertical narrow green mountains wall art, East Asian Shan shui art giclee print ",Art & Collectibles > Prints > Giclée,87.79,0,0,0,0,13,0,"Chinese Garden,Chinese Art,Canvas Print,Vintage Painting,Retro Painting,Decoration Painting,Chinese Gift,Japanese Painting,Japanese Art,Fine Art Paper Print,Extra Large Vertical,Flowers and Birds,Silk Paper Print,Gifts for Friends,Personalized Gifts,Gifts",United States,,no,no,no,Leechees,https://www.etsy.com/listing/1157614676/chinese-traditional-landscape-painting,Upgrade Pro to Unlock
"Cute Vietnamese Princess Tote Bag | Asian Royal Noble Lady, Cute Asian Girl Woman, Viet Ao Dai Nhat Binh, Grocery Shopping Fashion Handbag ",Bags & Purses > Totes,23.99,0,0,0,0,6,0,"Asian Tote Bags,Asian American Art,Vietnamese Culture,Cute Shopping Bag,Fashion Handbag,Little Girl Graphic,Ao Dai Nhat Binh,Traditional Dress,Gift for Her,East Asian Aesthetic,Kawaii Grocery Totes,Asian Princess Queen,Royalty Empress,Gifts for Girlfriend,Gifts for Girls,Gifts for Mom,Gifts for Sister,Gifts for Wife,Gifts for Her,Gifts",United States,,no,no,no,SaigonAugusta,https://www.etsy.com/listing/1099464879/cute-vietnamese-princess-tote-bag-asian,Upgrade Pro to Unlock
"Chinese Ming dynasty antique botanic art silk print, unframed giclee fine art print, ancient art replica, silk hanging scroll 獅頭鵝圖/呂紀 ",Art & Collectibles > Prints > Giclée,83.89,0,0,0,0,2,0,"Chinese Painting,Traditional,Chinese Art,Chinese Wall Hanging,Vintage Painting,Large Vertical,East Asian Art,Canvas Print,Fine Art Print,Botanic Painting,Giclee Print,Retro Chinese Art,White Plum,Gifts for Friends,Personalized Gifts,Gifts",United States,2023-05-20,no,no,no,Leechees,https://www.etsy.com/listing/1486199109/chinese-ming-dynasty-antique-botanic-art,Upgrade Pro to Unlock
"Traditional Japanese Art Journal, Edo Period Hardcover Diary, Tsuchiya Koitsu Style Lined Notebook, Far East Landscape, Calm Thoughts ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",18.22,0,1,0,0,5,0,"Japanese Art Journal,Serene Artwork,Hardcover Notebook,Tsuchiya Koitsu,Traditional Japanese,Thoughts Journal,Edo Period Diary,Far East Landscape,Tranquil Reflections,Cultural Inspiration,East Asian Beauty,Japanese Heritage,Matte Laminate Cover,Christmas Gifts,Gifts",United States,2023-08-31,no,no,no,MediciArtPrints,https://www.etsy.com/listing/1541660096/traditional-japanese-art-journal-edo,Upgrade Pro to Unlock
