Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
Custom Written Chinese Calligraphy / Choose Your Own Words For Unique Asian Gift /  Japanese Calligraphy Scroll / Custom Painted Calligraphy ,Art & Collectibles,48.99,4,78,15,0,86,0,"Chinese Calligraphy,Japanese Calligraphy,Chinese Wedding,Chinese Wall Art,Personalized Gift,Chinese Scroll,Custom Calligraphy,Custom Artwork,Custom Chinese,Unique Asian Gift,Customized Scroll,Custom Asian Gift,Custom Chinese Gift,Personalized Gifts,Gifts",United States,2019-12-01,no,no,no,CalligraphyforGod,https://www.etsy.com/listing/696390434/custom-written-chinese-calligraphy,Upgrade Pro to Unlock
Original Handwritten Chinese Calligraph Vintage Character-- Hard to come by muddle. ,Craft Supplies & Tools,88,0,0,0,0,0,0,"Craft Supplies & Tools,Paints, Inks & Dyes,Inks,Ink,Chinese brush ink,Chinese Calligraphy,Chinese painting,art collectibles,Chinese ink painting,Chinese art,wall decoration,rice paper painting,home decoration,Asian art,ink art calligraphy,gift,office",United States,,no,no,no,AZBeautyFinds,https://www.etsy.com/listing/1287634225/original-handwritten-chinese-calligraph,Upgrade Pro to Unlock
"Wooden board Japanese Painting ZEN art SHIDARE Sakura cherry blossoms, Unique Japanese style hand painted Suibokuga art ",Art & Collectibles > Painting > Mixed,400,0,0,0,0,22,0,"Art & Collectibles,Painting,Mixed,SHIDARE Sakura art,Suibokuga painting,wooden board art,Japanese ZEN art,good luck art,original artwork,one of a kind art,hand painted art,calligraphy art,cherry blossom art,unique wall art,Japanese painting,Japanese Asian style",Japan,,no,no,no,JapanCrossBridge,https://www.etsy.com/listing/1171238110/wooden-board-japanese-painting-zen-art,Upgrade Pro to Unlock
"A4 CUSTOM calligraphy work, white card with black ink in a black frame ",Home & Living > Home Decor > Wall Decor > Wall Hangings,107.38,0,0,0,0,0,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,calligraphy,Japanese calligraphy,Japanese art,Asian art",British,,no,no,no,CalligraphyVicky,https://www.etsy.com/listing/1156862047/a4-custom-calligraphy-work-white-card,Upgrade Pro to Unlock
"Road 路，Handwritten Chinese Calligraphy,Chinese Painting、Chinese Culture And Language Art ，Wall Decor，Zen Art. ",Home & Living > Home Decor > Wall Decor,33,0,1,0,0,5,0,"Home & Living,Home Decor,Wall Decor,home decor,wall decor,wall hangings,original art,chinese calligraphy,wall art,orginal artwork,simple decor,wall hanging,japanese art,asian art,religious gifts,living room decor",,2019-11-23,no,no,no,SindyJoyiArts,https://www.etsy.com/listing/755861971/road-luhandwritten-chinese,
Japanese Wall Scroll / Wind in Japanese Calligraphy / Silk Decorative Scroll / Asian Scroll Decor / Hand Painted Kanji Calligraphy Art ,Home & Living > Home Decor > Wall Decor > Wall Hangings,39.99,0,2,0,0,6,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,japanese calligraphy,japanese wall scroll,wind in japanese,asian scrolls,decorative scroll,asian art scroll,asian wall decor,asian style scrolls,oriental scroll,asian calligraphy,asian scroll decor,sumi ink drawing,sumi ink painting",China,,no,no,no,CalligraphyforGod,https://www.etsy.com/listing/704066451/japanese-wall-scroll-wind-in-japanese,Upgrade Pro to Unlock
Chinese Lotus Original Painting / Hand Painted Asian Art / Chinese Style Art Wall Hanging / Chinese Watercolor / Framed 16 Inches ,Home & Living > Home Decor > Wall Decor > Wall Hangings,99.99,0,1,0,0,5,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,Chinese watercolor,Chinese gift,Chinese wall hanging,Framed Chinese art,Chinese painting,Chinese sumi-e paint,Asian scenery art,Chinese flower art,Chinese style art,Chinese flowers,lotus painting,Chinese calligraphy,flower painting",China,,no,no,no,CalligraphyforGod,https://www.etsy.com/listing/1077921721/chinese-lotus-original-painting-hand,Upgrade Pro to Unlock
Prosperity - Original Japanese calligraphy work A5 size - with frame ,Home & Living > Home Decor > Wall Decor > Wall Hangings,53.3,0,0,0,0,0,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,Japan,calligraphy,Japanese calligraphy,Chinese calligraphy,Asian calligraphy,Asian art,Chinese art,Japanese art",British,,no,no,no,CalligraphyVicky,https://www.etsy.com/listing/1272015031/prosperity-original-japanese-calligraphy,Upgrade Pro to Unlock
Prayer - Original Japanese calligraphy work A5 size - with frame ,Home & Living > Home Decor > Wall Decor > Wall Hangings,53.3,0,0,0,0,0,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,Japanese,Japanese calligraphy,Japanese art,Chinese art,Chinese calligraphy,Asian art,Asian calligraphy,Calligraphy",British,,no,no,no,CalligraphyVicky,https://www.etsy.com/listing/1276367046/prayer-original-japanese-calligraphy,Upgrade Pro to Unlock
Friendship - Original Japanese calligraphy work A5 size - with frame ,Home & Living > Home Decor > Wall Decor > Wall Hangings,53.3,0,0,0,0,0,0,"Home & Living,Home Decor,Wall Decor,Wall Hangings,Japan,Japanese,Japanese calligraphy,Calligraphy,Japanese art,Asian art,Asian calligraphy,Chinese calligraphy",British,,no,no,no,CalligraphyVicky,https://www.etsy.com/listing/1276391620/friendship-original-japanese-calligraphy,Upgrade Pro to Unlock
