Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
Square Japanese Hanko Chop Japanese Name Stamp Chinese Name Stamp Custom Wood Stamp Japanese Stationery Chinese Name Seal ,Craft Supplies & Tools,23.99,20,1350,202,3,3492,14,"Square,New Year Gift,Birthday Gift,Graduation Gift,Japanese Stamp,Hanko Chop,Name Stamp,Japanese Stationery,Chinese Stamp,Christmas Gift,Japanese Hanko,Japanese Signature,Japanese Chop,Birthday Gifts,Christmas Gifts,Personalized Gifts,Gifts",United States,2020-07-13,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/838077651/square-japanese-hanko-chop-japanese-name,Upgrade Pro to Unlock
Chinese calligraphy seal /Japanese sumi painting Stamp/Rectangular Corner Stamp/Stone Seal Engraving/Custom Mood Seal ,Craft Supplies & Tools,25.99,6,50,15,0,190,2,"Square Seal,Stone Stamp,Chinese Chop,Name Seal,Chop Stamp,Chinese Seal,Personalized Seal,Chinese Stamp,Private Seals,Chinese Seal Custom,Seal Chop Stamp,Engraved Stamps,Custom Chinese Chop,Personalized Gifts",United States,2022-11-02,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/1323898346/chinese-calligraphy-seal-japanese-sumi,Upgrade Pro to Unlock
"Chinese zodiac Chop Seal, Chinese custom Seal, Chinese Stone Seal Carving, Chinese Stone Square Seal With Your Name Hand Engraved. ",Craft Supplies & Tools,37.99,5,96,25,0,269,2,"Custom Chinese Seal,Custom Seal,Personal Seal,Stone Seal Stamp,Personal Name Stamp,Character Chop,Dragon Carving,Personalized Seal,Seal Cutting,Chinese Culture,Custom Chinese Chop,Personal Name Seal,Personalized Chops,Gifts for Friends,Personalized Gifts,Gifts",United States,2020-05-14,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/809091495/chinese-zodiac-chop-seal-chinese-custom,Upgrade Pro to Unlock
"Customized Round Sandalwood Stamp, Japanese Hanko Chop, Wood Name Seal, Chinese/Korean Name Stamp, English Name Stamp ",Craft Supplies & Tools,20,4,162,64,1,693,8,"Name Stamp,Personalized Stamp,Wood Name Sign,Name Seal,Seal Stamp,Japanese Name Seal,Japanese Name Stamp,Chinese Name,Korean Name Stamp,Japanese Name,Japanese Kanji,Custom Name Stamp,Name Chop,Personalized Gifts",United States,2022-10-11,False,False,False,DancingLionsBar,https://www.etsy.com/listing/1308402150/customized-round-sandalwood-stamp,Upgrade Pro to Unlock
DIY Stone Seal Engraving Set 27 Blank  Carving Chops Carve Personal Name Chops Custom Seal Name Stamp Engraving Kit Carve ,Craft Supplies & Tools,49.99,4,50,11,0,199,0,"Square,Chinese Seal Clamp,Stone Seal,Chinese Name Seal,Chinese Chop,Chinese Stamp,Square Seal,Square Stamp,Chinese Seal,Stone Seal Blank,Stamp Chop,Japanese Chop Blank,Hanko Chop Blank,Personalized Gifts",United States,2019-12-04,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/745219626/diy-stone-seal-engraving-set-27-blank,Upgrade Pro to Unlock
Custom Name Seal/Green Stone Seal Carving/Chinese Stone Square Seal With Your Name Hand Engraved/Custom Made Seal Set ,Craft Supplies & Tools,45.99,3,22,4,0,47,0,"Square Seal,Stone Stamp,Chinese Chop,Name Seal,Chop Stamp,Chinese Seal,Personalized Seal,Chinese Stamp,Private Seals,Chinese Seal Custom,Seal Chop Stamp,Engraved Stamps,Custom Chinese Chop,Personalized Gifts",United States,2022-08-11,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/1284217393/custom-name-sealgreen-stone-seal,Upgrade Pro to Unlock
"5PCS Chinese Shoushan stone , For Chinese Stone Seal Carving,chinese seal carving practice. ",Craft Supplies & Tools,29.99,2,30,6,0,43,0,"Custom Chinese Seal,Custom Seal,Personal Seal,Name Seal,Stone Seal Stamp,Personal Name Stamp,Character Chop,Dragon Carving,Personalized Seal,Chinese Culture,Seal Cutting,Custom Chinese Chop,Personalized Chops,Gifts for Friends,Personalized Gifts,Gifts",United States,2020-06-16,False,False,False,SindyJoyiArts,https://www.etsy.com/listing/825285621/5pcs-chinese-shoushan-stone-for-chinese,Upgrade Pro to Unlock
Japanese Hanko Chop Chinese Name Stamp Custom Wood Stamp Japanese Stationery Chinese Name Seal ,Craft Supplies & Tools,23.99,1,182,44,0,555,0,"Christmas Gift,Graduation Gift,Birthday Gift,Hanko,Chinese Seal,Stamp,Japanese Stationery,New Year Gift,Hanko Chop,Japanese Seal,Japanese Stamp,Japanese Signature,Sumi Painting,Birthday Gifts,Christmas Gifts,Gifts for Friends,Personalized Gifts,Gifts",United States,2020-09-08,False,False,False,SemliCalligraphy,https://www.etsy.com/listing/821786102/japanese-hanko-chop-chinese-name-stamp,Upgrade Pro to Unlock
"Custom Stamp/Custom Chinese Name Seal / Stone Seal Carving /Chinese Artist Chop/Eco-Friendly Stamp/Stone Stamp/Personal Seal/,1cm*2.6cm*6cm ",Craft Supplies & Tools,52.39,1,17,6,0,43,0,"Stone Stamp,Personalized Stamp,Custom Stamp,Self Inking Stamp,Chinese Stamp,Envelope Seal,Gift for Teacher,Business Stamp,Branding Stamp,Stamper,Logo Stamp,Wax Seal With,Gifts for Teachers,Personalized Gifts,Gifts",British,2022-09-29,False,False,False,TreVincentShop,https://www.etsy.com/listing/1300984548/custom-stampcustom-chinese-name-seal,Upgrade Pro to Unlock
"Customized Square Sandalwood Stamp, Japanese Hanko Chop, Wood Name Seal, Chinese/Korean Name Stamp, English Name Stamp ",Craft Supplies & Tools,25,1,260,72,1,494,4,"Name Stamp,Custom Name Stamp,Personalized Stamp,Wood Name Sign,Name Seal,Seal Stamp,Japanese Name Seal,Japanese Name Stamp,Chinese Name,Korean Name Stamp,Name Chop,Personalized Gifts",United States,2022-07-27,False,False,False,DancingLionsBar,https://www.etsy.com/listing/1275293621/customized-square-sandalwood-stamp,Upgrade Pro to Unlock
