Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Happy Birthday Card, Instant Download Printable, Korean Oriental Words, Hand Made Card, Hangul Card, Birthday Gift, Birthday Celebration ",Art & Collectibles > Prints > Digital Prints,1,0,4,0,0,9,0,"Art & Collectibles,Prints,Digital Prints,bday card,male birthday card,modern birthday card,simple birthday card,korean calligraphy,korean art,korean hangul,calligraphy font,learn korean,calligraphy poster,word art poster,calligraphic poster,oriental calligraphy",South Korea,,no,no,no,FineTreeDigitals,https://www.etsy.com/listing/828796592/happy-birthday-card-instant-download,Upgrade Pro to Unlock
"Jing-Stillness, meditation characters, Chinese calligraphic words, zen buddhism for office and home, digital printables, wall art poster ",Art & Collectibles > Prints > Digital Prints,1.94,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,Wall art gifts,Chinese Brush Art,Digital Printables,Calligraphy words,Kanji Characters,Oriental Art,Japanese Shodo,Asian wall hangings,Oriental Home Decor,Mindset power words,Handwritten Art,Chinese Philosophy,Shufa Shu fa",Singapore,,no,no,no,PODAThoughts,https://www.etsy.com/listing/1475640775/jing-stillness-meditation-characters,Upgrade Pro to Unlock
"Caligraphy Ink Chinese Dragon no.4 // Premium Quality Digital AI Art Prints, Stunning Wall Art for Home Decor, Instant Affordable Download ",Art & Collectibles > Prints > Digital Prints,3.73,0,1,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,Digital Art Prints,Wall Art Decor,Instant Download,Printable Wall Art,AI Digital Download,Digital Wall Art,Wall Prints,Digital Art Download,Printable Home Decor,Best seller,Chinese dragon art,Oriental calligraphy,Traditional art",,,no,no,no,PlanetDigitalArt,https://www.etsy.com/listing/1434553119/caligraphy-ink-chinese-dragon-no4,
BUDDHA ORIGINAL ARTWORK calligraphy fine art ,Art & Collectibles > Prints > Giclée,50,0,10,0,0,17,0,"Art & Collectibles,Prints,Giclée,custom art,calligraphy writing,script penmanship,poster wall art,art print quote,buddhist buddism,gautama buddha,religious religion,enlightenment,nirvana karma,eastern oriental,namaste yoga",United States,2014-10-13,no,no,no,OpenInkStand,https://www.etsy.com/listing/206894328/buddha-original-artwork-calligraphy-fine,Upgrade Pro to Unlock
Chinese Character Printable | Qi Wall Art | Spiritual Printable | Japanese Wall Decor ** Instant Download ** ,Art & Collectibles > Prints > Digital Prints,3.74,0,8,0,0,11,0,"Art & Collectibles,Prints,Digital Prints,Yoga Wall Art,Spiritual Print,Zen printable,Spiritual Wall Decor,Zen Wall Decor,Japanse Art Print,Spiritual Poster,Chinese Calligraphy,Qi Poster,Oriental Wall Art,Kanji,Chinese Art,Asian Art",,2021-06-14,no,no,no,WayToSamadhi,https://www.etsy.com/listing/1021909540/chinese-character-printable-qi-wall-art,
"Calligraphy art design, abstract background, Chinese ink, gold luxury wall art, oriental home decor, for poster, card, banner, book, cover ",Art & Collectibles > Prints > Digital Prints,10.11,0,2,0,0,12,0,"Art & Collectibles,Prints,Digital Prints,wall art print,innovative,golden brush,abstract background,Chinese ink,gold luxury wall art,oriental home decor,for poster,card,banner,book,cover,Calligraphy art",,,no,no,no,LanDanGallery,https://www.etsy.com/listing/927660033/calligraphy-art-design-abstract,
"Home Wall Art - Printable Chinese Calligraphy Style Writing, Oriental Painting Design Decor - Download digital Painting ",Art & Collectibles > Prints > Digital Prints,6.9,0,0,0,0,2,0,"Art & Collectibles,Prints,Digital Prints,wall art,painting,home decor,picture art,house warming,gifts for visiting,asian art,oriental,digital prints,artwork,blessings,chinese calligraphy,home",Singapore,2020-07-01,no,no,no,MetaBooth,https://www.etsy.com/listing/832390687/home-wall-art-printable-chinese,Upgrade Pro to Unlock
"Retro Old Shanghai 1935, Satin Poster with Chinese Calligraphy, Modern Wall Art Print in Red and White, Free Shipping ",Art & Collectibles > Prints > Digital Prints,29.66,0,0,0,0,0,0,"Art & Collectibles,Prints,Digital Prints,Shanghai street,Chinese Calligraphy,Wall Art Decor,Zen Brushing,Free delivery,Oriental art,Asian art,1930s China art,old Shanghai,retro art,China Shanghai 1935,red white art,Any occasion gift",China,,no,no,no,AfArtWorkshop,https://www.etsy.com/listing/1442208015/retro-old-shanghai-1935-satin-poster,Upgrade Pro to Unlock
"Moving forward Chinese Calligraphy motivational definition print, minimalist dictionary art, oriental wall décor, inspirational sign ",Art & Collectibles > Prints > Digital Prints,9.36,0,1,0,0,6,0,"Oriental Décor,Motivational Sign,Quotes About Life,Trendy Art Print,Trendy Wall Art,Chinese Wall Art,Chinese Calligraphy,Dictionary Art,Minimalist,Chinese Printable,Traditional Chinese,Black White Print,Literary Prints,Personalized Gifts",United States,,no,no,no,MakersPrintArt,https://www.etsy.com/listing/1260201917/moving-forward-chinese-calligraphy,Upgrade Pro to Unlock
"10Pc Oriental Watercolor Fabric, Hand Painted Japanese Artisan Fabric, Asian Watercolor Block, Asian Calligraphy, Oriental Watercolor Square ",Craft Supplies & Tools,13.2,0,0,0,0,0,0,"Make A Pillow,Asian Watercolor,Hand Painted,Japanese Quilt,Minimalist Prints,Oriental Fabric,Japanese Letters,Natural Fabric,Up Cycled,Chinese Calligraphy,Chinese Font,Oriental Blocks,Watercolor Squares",United States,,no,no,no,SewandQuiltCrumbs,https://www.etsy.com/listing/1424669160/10pc-oriental-watercolor-fabric-hand,Upgrade Pro to Unlock
